"Test_Case","Description","ExpectedResult","ActualResult","Status","Date","Time","Screenshot_File_Location","BrowserType","IP","HOST","ZONE"
"TC_01_01","Redirects To Ishine Login page","true","false","FAIL","2023-12-05","22_28_58","=HYPERLINK(""null"")","Chrome","192.168.4.105","BISWAJIT2000","Asia/Calcutta"
"TC_01_02","User should be able to login after entering credentials.","true","false","FAIL","2023-12-05","22_28_58","=HYPERLINK(""null"")","Chrome","192.168.4.105","BISWAJIT2000","Asia/Calcutta"
"TC_01_03","Redirects To Apmosys Mail Login page","true","false","FAIL","2023-12-05","22_28_58","=HYPERLINK(""null"")","Chrome","192.168.4.105","BISWAJIT2000","Asia/Calcutta"
"TC_01_04","User should be able to Go To mailBody And get The OTP","true","false","FAIL","2023-12-05","22_28_58","=HYPERLINK(""null"")","Chrome","192.168.4.105","BISWAJIT2000","Asia/Calcutta"
"TC_01_05","User should be able to login after entering OTP","true","false","FAIL","2023-12-05","22_28_58","=HYPERLINK(""null"")","Chrome","192.168.4.105","BISWAJIT2000","Asia/Calcutta"
"Test_Case","Description","ExpectedResult","ActualResult","Status","Date","Time","Screenshot_File_Location","BrowserType","IP","HOST","ZONE"
"TC_01_01","Redirects To Ishine Login page","true","true","PASS","2023-12-05","22_32_10","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework2\RESULT\2023\December\05\Screenshot\22_32_10_SC_04.png"")","Chrome","192.168.4.105","BISWAJIT2000","Asia/Calcutta"
"TC_01_02","User should be able to login after entering credentials.","true","true","PASS","2023-12-05","22_32_14","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework2\RESULT\2023\December\05\Screenshot\22_32_14_SC_09.png"")","Chrome","192.168.4.105","BISWAJIT2000","Asia/Calcutta"
"TC_01_03","Redirects To Apmosys Mail Login page","true","false","FAIL","2023-12-05","22_32_45","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework2\RESULT\2023\December\05\Screenshot\22_32_45_SC_16.png"")","Chrome","192.168.4.105","BISWAJIT2000","Asia/Calcutta"
"TC_01_04","User should be able to Go To mailBody And get The OTP","true","false","FAIL","2023-12-05","22_33_33","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework2\RESULT\2023\December\05\Screenshot\22_33_33_SC_29.png"")","Chrome","192.168.4.105","BISWAJIT2000","Asia/Calcutta"
"TC_01_05","User should be able to login after entering OTP","true","true","PASS","2023-12-05","22_33_47","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework2\RESULT\2023\December\05\Screenshot\22_33_47_SC_37.png"")","Chrome","192.168.4.105","BISWAJIT2000","Asia/Calcutta"
